Well,BUL2_g_exp,FAS1_g_exp,MKT1_g_exp,NCS2_g_exp,PMA1_g_exp,RHO5_g_exp,SCH9_g_exp,WHI2_g_exp,AKL1_g_exp,RPI1_g_exp
2D-B6,0,0,1,1,0,0,1,1,1,1
2D-B7,0,0,1,1,0,1,0,0,1,1
2D-B8,0,0,1,1,0,1,0,1,1,1
2D-B9,0,0,1,1,0,1,1,0,1,1
2D-B10,0,0,1,1,0,1,1,1,1,1
2D-C3,1,0,0,1,0,0,0,0,1,1
2D-C4,1,0,0,1,0,0,0,1,1,1
2D-C5,1,0,0,1,0,0,1,0,1,1
2D-C6,1,0,0,1,0,0,1,1,1,1
2D-C7,1,0,0,1,0,1,0,0,1,1
2D-C8,1,0,0,1,0,1,0,1,1,1
2D-C9,1,0,0,1,0,1,1,0,1,1
2D-C10,1,0,0,1,0,1,1,1,1,1
2D-D3,1,0,1,1,0,0,0,0,1,1
2D-D4,1,0,1,1,0,0,0,1,1,1
2D-D5,1,0,1,1,0,0,1,0,1,1
2D-D6,1,0,1,1,0,0,1,1,1,1
2D-D7,1,0,1,1,0,1,0,0,1,1
2D-D8,1,0,1,1,0,1,0,1,1,1
2D-D9,1,0,1,1,0,1,1,0,1,1
2D-D10,1,0,1,1,0,1,1,1,1,1
2D-E3,0,1,0,1,0,0,0,0,1,1
2D-E4,0,1,0,1,0,0,0,1,1,1
2D-E5,0,1,0,1,0,0,1,0,1,1
2D-E6,0,1,0,1,0,0,1,1,1,1
2D-E7,0,1,0,1,0,1,0,0,1,1
2D-E8,0,1,0,1,0,1,0,1,1,1
2D-E9,0,1,0,1,0,1,1,0,1,1
2D-E10,0,1,0,1,0,1,1,1,1,1
2D-F3,0,1,1,1,0,0,0,0,1,1
2D-F4,0,1,1,1,0,0,0,1,1,1
2D-F5,0,1,1,1,0,0,1,0,1,1
2D-F6,0,1,1,1,0,0,1,1,1,1
2D-F7,0,1,1,1,0,1,0,0,1,1
2D-F8,0,1,1,1,0,1,0,1,1,1
2D-F9,0,1,1,1,0,1,1,0,1,1
2D-F10,0,1,1,1,0,1,1,1,1,1
2D-G3,1,1,0,1,0,0,0,0,1,1
2D-G4,1,1,0,1,0,0,0,1,1,1
2D-G5,1,1,0,1,0,0,1,0,1,1
2D-G6,1,1,0,1,0,0,1,1,1,1
2D-G7,1,1,0,1,0,1,0,0,1,1
2D-G8,1,1,0,1,0,1,0,1,1,1
2D-G9,1,1,0,1,0,1,1,0,1,1
2D-G10,1,1,0,1,0,1,1,1,1,1
2D-H3,1,1,1,1,0,0,0,0,1,1
2D-H4,1,1,1,1,0,0,0,1,1,1
2D-H5,1,1,1,1,0,0,1,0,1,1
2D-H6,1,1,1,1,0,0,1,1,1,1
2D-H7,1,1,1,1,0,1,0,0,1,1
2D-H8,1,1,1,1,0,1,0,1,1,1
2D-H9,1,1,1,1,0,1,1,0,1,1
2D-H10,1,1,1,1,0,1,1,1,1,1
3A-A3,0,0,0,0,1,0,0,0,0,0
3A-A4,0,0,0,0,1,0,0,1,0,0
3A-A5,0,0,0,0,1,0,1,0,0,0
3A-A6,0,0,0,0,1,0,1,1,0,0
3A-A7,0,0,0,0,1,1,0,0,0,0
3A-A8,0,0,0,2,1,1,0,1,0,0
3A-A9,0,0,0,0,1,1,1,0,0,0
3A-A10,0,0,0,0,1,1,1,1,0,0
3A-B3,0,0,1,0,1,0,0,0,0,0
3A-B4,0,0,1,0,1,0,0,1,0,0
